Starting Mock Data Server with Embedded NATS...
 - NATS: :4222
 - WS:   :4223
 - Stream: :8080/stream
[2026-01-25T19:50:42.263-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.SERVER.NAPKRKBMSRJ4IAN5JVJQWPLU74CW5HHIPX7VGFXVTWI3EJGANDGCRRWU.EXPVARZ  30]
[2026-01-25T19:50:42.263-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.SERVER.PING.EXPVARZ  31]
[2026-01-25T19:50:42.263-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.SERVER.NAPKRKBMSRJ4IAN5JVJQWPLU74CW5HHIPX7VGFXVTWI3EJGANDGCRRWU.IDZ  32]
[2026-01-25T19:50:42.263-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.SERVER.PING.IDZ  33]
[2026-01-25T19:50:42.263-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.SERVER.NAPKRKBMSRJ4IAN5JVJQWPLU74CW5HHIPX7VGFXVTWI3EJGANDGCRRWU.CONNZ  34]
[2026-01-25T19:50:42.263-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.SERVER.PING.CONNZ  35]
[2026-01-25T19:50:42.263-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.SERVER.NAPKRKBMSRJ4IAN5JVJQWPLU74CW5HHIPX7VGFXVTWI3EJGANDGCRRWU.IPQUEUESZ  36]
[2026-01-25T19:50:42.263-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.SERVER.PING.IPQUEUESZ  37]
[2026-01-25T19:50:42.263-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.SERVER.NAPKRKBMSRJ4IAN5JVJQWPLU74CW5HHIPX7VGFXVTWI3EJGANDGCRRWU.RAFTZ  38]
[2026-01-25T19:50:42.263-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.SERVER.PING.RAFTZ  39]
[2026-01-25T19:50:42.263-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.SERVER.NAPKRKBMSRJ4IAN5JVJQWPLU74CW5HHIPX7VGFXVTWI3EJGANDGCRRWU.SUBSZ  40]
[2026-01-25T19:50:42.263-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [PUB $SYS.SERVER.ACCOUNT.$SYS.CONNS  731]
[2026-01-25T19:50:42.263-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- MSG_PAYLOAD: ["{\"type\":\"io.nats.server.advisory.v1.account_connections\",\"id\":\"IS106azWWyXBzOUgTpdVEJ\",\"timestamp\":\"2026-01-26T03:50:42.263015151Z\",\"server\":{\"name\":\"NAPKRKBMSRJ4IAN5JVJQWPLU74CW5HHIPX7VGFXVTWI3EJGANDGCRRWU\",\"host\":\"0.0.0.0\",\"id\":\"NAPKRKBMSRJ4IAN5JVJQWPLU74CW5HHIPX7VGFXVTWI3EJGANDGCRRWU\",\"ver\":\"2.12.3\",\"jetstream\":false,\"flags\":0,\"seq\":2,\"time\":\"2026-01-26T03:50:42.263332405Z\"},\"acc\":\"$SYS\",\"name\":\"$SYS\",\"conns\":0,\"leafnodes\":0,\"total_conns\":0,\"num_subscriptions\":0,\"sent\":{\"msgs\":0,\"bytes\":0,\"gateways\":{\"msgs\":0,\"bytes\":0},\"routes\":{\"msgs\":0,\"bytes\":0},\"leafs\":{\"msgs\":0,\"bytes\":0}},\"received\":{\"msgs\":0,\"bytes\":0,\"gateways\":{\"msgs\":0,\"bytes\":0},\"routes\":{\"msgs\":0,\"bytes\":0},\"leafs\":{\"msgs\":0,\"bytes\":0}},\"slow_consumers\":0}"]
[2026-01-25T19:50:42.263-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [PUB $SYS.ACCOUNT.$SYS.SERVER.CONNS  731]
